Rank,Points,Account
1,4242,wetterkenny
2,3548,buergich
3,1572,fisler
4,1236,giger_ch
5,994,luca_northsouth
6,688,EricEich
7,486,albuvee
8,422,karteber
9,408,francoisdbe
9,408,ku_5i
11,322,olikami
12,262,rastrau
13,156,perelandra1881
14,150,Felyxorez
15,122,dbrgn
15,122,straubsson
17,110,MxMarban
18,108,nohillside
19,92,pesche
20,80,StenEgilDahl
21,70,relleumocram
22,68,philouweber
23,66,AFoletti
23,66,quizvulkan
25,60,flowuestholz
25,60,davidrei
27,42,Buntschu
28,40,SergeMerillat
28,40,crater_ch
30,36,claudioherger
31,32,marcvdam
31,32,Minli136
33,26,meusmus
33,26,KristinaKlinger
35,22,SapygaFr
35,22,Garnet_Boy
37,20,CPRSchmid
37,20,morgulbrut
39,18,wayneswiss
40,14,GilbertJeiziner
40,14,alienlebarge
40,14,jofuego
40,14,schelldorfer
44,12,davidoesch
44,12,MartinSenn6
46,10,waeberd
46,10,chtrachsel
46,10,implgeo
46,10,AntoineMarmy
46,10,rol1508
46,10,StSutter
46,10,SwgTester
53,6,mxfh
53,6,jebblehman
53,6,AvTetering
53,6,makram_95
53,6,lseelenbinder
53,6,nathfehlmann
59,4,xilef65
59,4,Chicken3gg
59,4,LAfu3000
62,2,geoObserver_
62,2,gap_id
62,2,StanWoffles
62,2,_jlsi
62,2,brunoerni
62,2,martinberger_ch
62,2,snebiker
62,2,FidoFido73
62,2,AntoninDanalet
62,2,TomyMayo
62,2,BeatSchaffner
62,2,SutterChrigel
62,2,Nadja_Rohner
