Rank,Points,Account
1,964,karteber
2,936,wetterkenny
3,523,buergich
4,305,EricEich
5,292,giger_ch
6,223,francoisdbe
7,98,perelandra1881
8,71,nohillside
9,60,flowuestholz
9,60,Felyxorez
9,60,nathfehlmann
12,54,ku_5i
13,50,relleumocram
14,46,straubsson
15,40,AFoletti
15,40,rastrau
17,32,Minli136
18,30,CPRSchmid
18,30,marcvdam
20,20,pesche
21,18,quizvulkan
22,14,rol1508
23,12,morgulbrut
24,10,nenn_mich_bond
24,10,AvTetering
24,10,StSutter
27,6,jebblehman
28,4,alienlebarge
29,2,schelldorfer
29,2,philouweber
29,2,Nadja_Rohner
29,2,davidoesch
29,2,MartinSenn6
